ts_bucket,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent,machine_id
432300,32.77777777777778,95.77777777777777,,,47.05111111111111,36.78111111111111,3.6666666666666665,m_1508
432600,30.583333333333332,95.41666666666667,,,47.06,36.79,3.25,m_1508
432900,30.125,96.5,,,47.06,36.79,4.625,m_1508
433200,31.666666666666668,96.5,,,47.07,36.795,2.3333333333333335,m_1508
433500,31.333333333333332,95.33333333333333,,,47.07,36.8,3.5555555555555554,m_1508
433800,29.166666666666668,94.75,,,47.07916666666666,36.800000000000004,2.6666666666666665,m_1508
434100,32.15384615384615,95.07692307692308,,,47.08,36.80923076923077,4.3076923076923075,m_1508
434400,38.0,96.38461538461539,,,47.08692307692308,36.81,8.461538461538462,m_1508
434700,29.77777777777778,92.88888888888889,,,47.09,36.81444444444444,4.0,m_1508
435000,31.4,94.2,,,47.098,36.82,3.8,m_1508
435300,29.6,95.2,,,47.1,36.82000000000001,2.5,m_1508
435600,29.22222222222222,94.0,,,47.1,36.82,4.111111111111111,m_1508
435900,27.0,93.5,,,47.109,36.827999999999996,3.1,m_1508
436200,37.0,95.42857142857143,,,47.11,36.82999999999999,3.2857142857142856,m_1508
436500,40.77777777777778,95.11111111111111,,,47.11888888888888,36.831111111111106,3.0,m_1508
436800,38.0,92.0,,,47.12,36.839999999999996,5.785714285714286,m_1508
437100,37.1,87.5,,,47.129,36.84,4.7,m_1508
437400,31.0,88.28571428571429,,,47.13,36.84142857142857,3.5714285714285716,m_1508
437700,28.416666666666668,88.66666666666667,,,47.13833333333334,36.85,6.916666666666667,m_1508
438000,31.0,90.8,,,47.13999999999999,36.85000000000001,5.533333333333333,m_1508
438300,20.923076923076923,87.61538461538461,,,47.145384615384614,36.85923076923077,4.230769230769231,m_1508
438600,22.75,86.75,,,47.15,36.86,4.875,m_1508
438900,20.0,87.57142857142857,,,47.15285714285714,36.86,2.142857142857143,m_1508
439200,33.44444444444444,90.11111111111111,,,47.16,36.86888888888889,5.111111111111111,m_1508
439500,34.55555555555556,91.22222222222223,,,47.162222222222226,36.86999999999999,6.222222222222222,m_1508
439800,36.0,90.6,,,47.17,36.872,5.6,m_1508
440100,32.45454545454545,92.0,,,47.17272727272728,36.88,3.0,m_1508
440400,34.55555555555556,91.66666666666667,,,47.18,36.88,4.222222222222222,m_1508
440700,32.77777777777778,91.11111111111111,,,47.18666666666667,36.88777777777777,5.888888888888889,m_1508
441000,30.875,92.75,,,47.19,36.89,5.0,m_1508
441300,33.25,89.08333333333333,,,47.19666666666666,36.892500000000005,5.416666666666667,m_1508
441600,27.545454545454547,90.63636363636364,,,47.2,36.900000000000006,4.454545454545454,m_1508
441900,37.5,89.66666666666667,,,47.21,36.901666666666664,6.166666666666667,m_1508
442200,34.142857142857146,88.28571428571429,,,47.21857142857142,36.910000000000004,8.714285714285714,m_1508
442500,37.875,92.75,,,47.22,36.91,5.625,m_1508
442800,45.46153846153846,92.23076923076923,,,47.230000000000004,36.91923076923077,5.461538461538462,m_1508
443100,39.84615384615385,91.92307692307692,,,47.24,36.92,5.0,m_1508
443400,43.09090909090909,93.27272727272727,,,47.24727272727273,36.92636363636364,3.0,m_1508
443700,37.1,93.5,,,47.253,36.92999999999999,4.7,m_1508
444000,38.5,94.16666666666667,,,47.26,36.93,3.8333333333333335,m_1508
444300,39.76923076923077,94.23076923076923,,,47.26692307692308,36.93769230769231,4.230769230769231,m_1508
444600,39.0,95.2,,,47.275999999999996,36.94,5.8,m_1508
444900,38.125,92.125,,,47.2825,36.945,8.625,m_1508
445200,38.0,94.0,,,47.290000000000006,36.949999999999996,6.545454545454546,m_1508
445500,32.5,93.625,,,47.2975,36.95,7.5,m_1508
445800,33.875,92.375,,,47.3,36.96,5.25,m_1508
446100,37.75,95.125,,,47.31,36.96,6.375,m_1508
446400,38.2,94.6,,,47.318,36.967999999999996,10.7,m_1508
446700,36.0,92.6,,,47.322,36.97,5.6,m_1508
447000,40.9,95.2,,,47.33,36.975,5.7,m_1508
447300,40.5,95.3,,,47.334,36.980000000000004,6.0,m_1508
447600,48.25,95.91666666666667,,,47.344166666666666,36.982499999999995,8.75,m_1508
447900,42.15384615384615,92.92307692307692,,,47.349999999999994,36.99,14.76923076923077,m_1508
448200,43.333333333333336,90.33333333333333,,,47.36,36.995555555555555,5.444444444444445,m_1508
448500,33.214285714285715,89.28571428571429,,,47.36,37.0,5.5,m_1508
448800,33.125,90.0,,,47.37,37.0,5.875,m_1508
449100,37.666666666666664,90.11111111111111,,,47.37,37.00555555555555,6.444444444444445,m_1508
449400,41.888888888888886,91.33333333333333,,,47.378888888888895,37.01,6.444444444444445,m_1508
449700,39.3,91.0,,,47.38000000000001,37.010000000000005,4.1,m_1508
450000,46.625,93.0,,,47.39125,37.015,6.125,m_1508
450300,40.916666666666664,90.5,,,47.4,37.02,9.833333333333334,m_1508
450600,36.44444444444444,91.44444444444444,,,47.402222222222214,37.02444444444445,10.777777777777779,m_1508
450900,33.77777777777778,92.44444444444444,,,47.41,37.03,4.777777777777778,m_1508
451200,30.8,91.9,,,47.415000000000006,37.038,8.2,m_1508
451500,22.11111111111111,89.05555555555556,,,47.42000000000001,37.03999999999999,4.444444444444445,m_1508
451800,18.833333333333332,87.75,,,47.425000000000004,37.041666666666664,6.333333333333333,m_1508
452100,39.0,91.125,,,47.43,37.05,9.75,m_1508
452400,40.7,92.9,,,47.44,37.05,6.9,m_1508
452700,51.44444444444444,95.11111111111111,,,47.449999999999996,37.058888888888895,8.222222222222221,m_1508
453000,54.416666666666664,95.58333333333333,,,47.458333333333336,37.06,18.333333333333332,m_1508
453300,59.714285714285715,95.85714285714286,,,47.46285714285714,37.067142857142855,10.428571428571429,m_1508
453600,58.375,95.875,,,47.4725,37.07,12.75,m_1508
453900,81.125,86.875,,,47.488749999999996,37.08,21.25,m_1508
454200,77.44444444444444,87.22222222222223,,,47.50111111111111,37.08,10.333333333333334,m_1508
454500,58.714285714285715,84.92857142857143,,,47.51285714285715,37.089999999999996,11.071428571428571,m_1508
454800,47.714285714285715,84.71428571428571,,,47.521428571428565,37.089999999999996,12.142857142857142,m_1508
455100,58.166666666666664,84.91666666666667,,,47.530833333333334,37.1,11.583333333333334,m_1508
455400,51.2,83.5,,,47.54,37.1,11.4,m_1508
455700,62.63636363636363,88.72727272727273,,,47.54909090909091,37.11000000000001,15.545454545454545,m_1508
456000,48.833333333333336,86.5,,,47.55666666666667,37.115,18.166666666666668,m_1508
456300,53.5,86.0,,,47.5625,37.12,19.5,m_1508
456600,57.5,86.83333333333333,,,47.57,37.12833333333333,16.333333333333332,m_1508
456900,63.0,89.15384615384616,,,47.57923076923077,37.13153846153846,13.846153846153847,m_1508
457200,50.416666666666664,88.58333333333333,,,47.58916666666667,37.14,13.833333333333334,m_1508
457500,44.6,87.3,,,47.596,37.146,11.2,m_1508
457800,61.9,88.7,,,47.604000000000006,37.15,21.8,m_1508
458100,57.44444444444444,90.11111111111111,,,47.61555555555555,37.16,23.555555555555557,m_1508
458400,57.18181818181818,89.81818181818181,,,47.62181818181818,37.164545454545454,26.727272727272727,m_1508
458700,54.888888888888886,91.22222222222223,,,47.63000000000001,37.17,12.11111111111111,m_1508
459000,58.84615384615385,86.38461538461539,,,47.63999999999999,37.18,13.0,m_1508
459300,57.25,86.0,,,47.65,37.18833333333333,14.25,m_1508
459600,47.09090909090909,84.36363636363636,,,47.658181818181816,37.192727272727275,13.272727272727273,m_1508
459900,45.0,85.625,,,47.662499999999994,37.2,8.625,m_1508
